trade_date,ts_code,name,market_segment,segment_limit_max_height_bucket,segment_retreat_state_bucket,market_chain_count_bucket,market_emotion_state_bucket,volume_ratio_bucket,n_branch,n_rule_id,first_time,first_time_minutes,circ_mv,limit_close,fill_probability,fill_space_ratio,fill_probability_method,model_training_end_date,execution_status,buy_date,exit_date,exit_rule,stock_return_before_fees,strategy_version,sample_scope
20240918,000158.SZ,常山北明,sz_main,4_5,retreat_2day,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,93424,574.0,1449678.5735,9.13,1.0,2443.8206173377575,asof_turnover_space_proxy_v2,20240913.0,OK,20240919,20240920,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.1790407394803002,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240919,603883.SH,老百姓,sh_main,3,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,95848,598.0,1107316.3469,14.61,1.0,1065.04274301418,asof_turnover_space_proxy_v2,20240918.0,OK,20240920,20240923,FIXED_CLOSE,-0.04856216207191122,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20241010,002423.SZ,中粮资本,sz_main,gte_6,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,92500,565.0,3645095.0197,15.82,1.0,14815.399491732753,asof_turnover_space_proxy_v2,20241009.0,OK,20241011,20241014,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.1536850246527668,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250113,000737.SZ,北方铜业,sz_main,3,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,102518,625.0,1681883.4632,9.49,1.0,1554.17351353264,asof_turnover_space_proxy_v2,20250110.0,OK,20250114,20250115,FIXED_CLOSE,-0.020749605300753426,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250117,300515.SZ,三德科技,chi_next,1,retreat_weak,8_15,mixed,lt_1,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,92500,565.0,271638.6167,14.78,1.0,57.199911517072735,asof_turnover_space_proxy_v2,20250116.0,OK,20250120,20250121,FIXED_CLOSE,0.13180546390878511,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250127,603636.SH,南威软件,sh_main,4_5,neutral,3_8,mixed,4_8,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,92502,565.0,723709.5722,12.47,1.0,507.8916163450256,asof_turnover_space_proxy_v2,20250124.0,LIMIT_UP_UNBUYABLE,20250205,,,,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250207,300057.SZ,万顺新材,chi_next,1,retreat_2day,15_30,main_rise,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,93230,572.0,400717.6211,5.59,1.0,454.9865729248691,asof_turnover_space_proxy_v2,20250206.0,OK,20250210,20250211,FIXED_CLOSE,-0.04581272386150437,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250218,300648.SZ,星云股份,chi_next,1,retreat_2day,15_30,mixed,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,94030,580.0,289897.1685,27.3,1.0,725.3918133898547,asof_turnover_space_proxy_v2,20250217.0,OK,20250219,20250220,FIXED_CLOSE,0.0012921144789277417,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250303,600363.SH,联创光电,sh_main,4_5,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,104844,648.0,2408615.244,53.11,1.0,1927.4098622877088,asof_turnover_space_proxy_v2,20250228.0,OK,20250304,20250305,FIXED_CLOSE,0.032861786101223034,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250327,300260.SZ,新莱应材,chi_next,2,retreat_weak,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,130757,787.0,951215.3771,33.07,1.0,2140.8500320032217,asof_turnover_space_proxy_v2,20250326.0,OK,20250328,20250331,FIXED_CLOSE,-0.06197038708594926,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250331,600126.SH,杭钢股份,sh_main,4_5,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,140644,846.0,4005346.2524,11.86,1.0,2499.5194496435565,asof_turnover_space_proxy_v2,20250328.0,OK,20250401,20250402,FIXED_CLOSE,-0.05160870612403312,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250402,002549.SZ,凯美特气,sz_main,4_5,neutral,3_8,mixed,4_8,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,92500,565.0,699975.4808,10.11,1.0,2791.0835074373235,asof_turnover_space_proxy_v2,20250401.0,OK,20250403,20250407,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.12110112110112126,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250415,300703.SZ,创源股份,chi_next,1,retreat_weak,8_15,mixed,4_8,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,93421,574.0,273155.1486,16.1,1.0,962.4082142554448,asof_turnover_space_proxy_v2,20250414.0,OK,20250416,20250417,FIXED_CLOSE,-0.07138113283364644,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250429,603986.SH,兆易创新,sh_main,4_5,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,145222,892.0,8401375.2177,126.72,1.0,6583.280906426493,asof_turnover_space_proxy_v2,20250428.0,OK,20250430,20250506,FIXED_CLOSE,0.037094604638740813,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250512,300607.SZ,拓斯达,chi_next,1,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,101703,617.0,1255531.3717,37.18,1.0,4418.865946192396,asof_turnover_space_proxy_v2,20250509.0,OK,20250513,20250514,FIXED_CLOSE,-0.04837498829796638,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20250613,002190.SZ,成飞集成,sz_main,3,warming_2day,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,145600,896.0,1317254.1475,36.72,1.0,1469.2199381303028,asof_turnover_space_proxy_v2,20250612.0,OK,20250616,20250617,FIXED_CLOSE,0.01556858982601561,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
