overlay_rule,overlay_action,overlay_reduced_position_pct,year,trade_count,period_return,win_rate,avg_account_return,max_drawdown
segment_retreat_state_bucket=retreat_weak,hard_exclude,,2025,30,5.9441326578368505,0.6666666666666666,0.07626130547771151,-0.10726016089988188
segment_retreat_state_bucket=retreat_weak,hard_exclude,,2026,6,0.2934645119892614,0.6666666666666666,0.04606061815628281,-0.05069411556624592
segment_retreat_state_bucket=retreat_weak,reduce_position,0.4,2024,13,1.3102694517890026,0.8461538461538461,0.06900639236703034,-0.041271514875011905
segment_retreat_state_bucket=retreat_weak,reduce_position,0.4,2025,35,7.435628464026248,0.6857142857142857,0.07112571371018715,-0.10726016089988188
segment_retreat_state_bucket=retreat_weak,reduce_position,0.4,2026,11,0.3779249221157239,0.7272727272727273,0.030975047265438826,-0.05069411556624592
segment_retreat_state_bucket=retreat_weak,reduce_position,0.2,2024,13,0.9852083192790979,0.8461538461538461,0.055909023221067264,-0.02515375659318253
segment_retreat_state_bucket=retreat_weak,reduce_position,0.2,2025,35,6.666684883392561,0.6857142857142857,0.0682462734883985,-0.10726016089988188
segment_retreat_state_bucket=retreat_weak,reduce_position,0.2,2026,11,0.3353939983333898,0.7272727272727273,0.02804951040261473,-0.05069411556624592
segment_retreat_state_bucket=weak_below_3,hard_exclude,,2024,8,0.8425736746947419,0.75,0.08812993352799617,-0.10562051906441039
segment_retreat_state_bucket=weak_below_3,hard_exclude,,2025,19,1.0578215954765606,0.7894736842105263,0.0403797130524143,-0.059315037842055496
segment_retreat_state_bucket=weak_below_3,hard_exclude,,2026,9,0.22682246094631298,0.6666666666666666,0.02440575525683353,-0.05069411556624592
segment_retreat_state_bucket=weak_below_3,reduce_position,0.4,2024,13,1.3840906478637462,0.8461538461538461,0.07471746795347706,-0.08254302975002381
segment_retreat_state_bucket=weak_below_3,reduce_position,0.4,2025,35,3.91250651032962,0.6857142857142857,0.049402504905394676,-0.08307419232757762
segment_retreat_state_bucket=weak_below_3,reduce_position,0.4,2026,11,0.34317631146896654,0.7272727272727273,0.028397233100611784,-0.05069411556624592
segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,2024,13,1.1003321292401034,0.8461538461538461,0.06447563660073735,-0.08254302975002392
segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,2025,35,2.2487927637313843,0.6857142857142857,0.035661460281209784,-0.0711946150848165
segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,2026,11,0.284347983285268,0.7272727272727273,0.02418278915537415,-0.05069411556624592
turnover_rate_bucket=15_25,hard_exclude,,2024,10,1.3588290504602534,0.8,0.09674002815560227,-0.0825430297500237
turnover_rate_bucket=15_25,hard_exclude,,2025,20,5.076544918009333,0.8,0.1024915793336267,-0.059315037842055496
