overlay_rule,overlay_action,overlay_reduced_position_pct,rule_factor_count,rule_set_count,initial_cash,final_equity,equity_multiple,executed_trade_count,skipped_trade_count,rule_hit_count,rule_hit_loss_count,rule_hit_win_rate_original,rule_hit_avg_original_return,win_rate,avg_account_return,median_account_return,max_profit,max_loss,max_drawdown,max_consecutive_losses
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;volume_ratio_bucket=2_4,hard_exclude,,4,2,500000.0,28804944.534558997,57.60988906911799,54,5,5,2,0.2,-0.046338981408321885,0.7777777777777778,0.08454366170169918,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28324948.78237929,56.649897564758575,56,3,3,2,0.0,-0.07327103941058584,0.7678571428571429,0.08131207041217688,0.04745130569313176,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
