signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20250731,EXECUTED,E,301171.SZ,易点天下,20250801,20250804,-0.04907053288440864,72876460.52377756,69300373.77114622,,,,E_R1:36;first_time=1000_1100,77716947.24806054,-0.10829778799789846,True
20250807,EXECUTED,E,300322.SZ,硕贝德,20250808,20250811,0.022315407652287088,69300373.77114622,70846839.86230522,,,,E_R1:36;first_time=1100_1330,77716947.24806054,-0.08839908963262533,True
20250811,EXECUTED,E,300870.SZ,欧陆通,20250812,20250814,0.22303621230422166,70846839.86230522,86648250.67891753,,,,E_R1:33;first_time=1000_1100,86648250.67891753,0.0,True
20250815,EXECUTED,E,300539.SZ,横河精密,20250818,20250819,0.10156773861852436,86648250.67891753,95448917.5556262,,,,E_R1:25;first_time=after_1430,95448917.5556262,0.0,True
20250819,EXECUTED,C,605376.SH,博迁新材,20250820,20250822,0.031142793642055955,95448917.5556262,98421463.49841867,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),98421463.49841867,0.0,True
20250822,EXECUTED,E,300113.SZ,顺网科技,20250825,20250826,0.017990378718697853,98421463.49841867,100192102.90080373,,,,E_R1:36;first_time=1000_1100,100192102.90080373,0.0,True
20250829,EXECUTED,E,300955.SZ,嘉亨家化,20250901,20250902,0.08229639253119768,100192102.90080373,108437551.52965443,,,,E_R1:23;first_time=before_1000,108437551.52965443,0.0,True
20250902,EXECUTED,A,920274.BJ,宏裕包材,20250903,20250904,0.5243675628308736,108437551.52965443,165298686.1446066,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),165298686.1446066,0.0,True
20250904,EXECUTED,E,603595.SH,东尼电子,20250905,20250908,0.029818002867650246,165298686.1446066,170227562.84208527,,,,E_R1:25;first_time=after_1430,170227562.84208527,0.0,True
20250908,EXECUTED,A,301538.SZ,骏鼎达,20250909,20250910,0.00040417214180355203,170227562.84208527,170296364.08075315,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),170296364.08075315,0.0,True
20250911,EXECUTED,E,688195.SH,腾景科技,20250912,20250916,0.1162269504814072,170296364.08075315,190089391.15593055,,,,E_R1:33;first_time=1100_1330,190089391.15593055,0.0,True
20251009,EXECUTED,E,688691.SH,灿芯股份,20251010,20251013,0.12216459890109889,190089391.15593055,213311585.3818489,,,,E_R1:3;first_time=before_1000,213311585.3818489,0.0,True
20251013,EXECUTED,E,301013.SZ,利和兴,20251014,20251015,-0.05686116003653315,213311585.3818489,201182441.18780497,,,,E_R1:36;first_time=before_1000,213311585.3818489,-0.05686116003653319,True
20251017,EXECUTED,A,300300.SZ,海峡创新,20251020,20251021,0.03835155173599986,201182441.18780497,208898099.9893938,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),213311585.3818489,-0.020690322021443497,True
20251021,EXECUTED,A,301231.SZ,荣信文化,20251022,20251023,0.13534297323094474,208898099.9893938,237170989.94425356,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),237170989.94425356,0.0,True
