signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20250313,A,920689.BJ,克莱特,20250314,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,287771311.07491994,OK,20250317,0.24093669488406344,38.0,38.038,47.25,47.20275,1.4506,1.4506,1.0,0.19768776733299606,True,True,True,20250317,20250314
20250407,A,300967.SZ,晓鸣股份,20250408,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,401217392.1052018,OK,20250409,0.183754522988973,20.9,20.920899999999996,24.79,24.76521,1.016,1.016,1.0,0.15055068750591533,True,True,True,20250409,20250408
20250415,A,920273.BJ,一致魔芋,20250416,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,585739401.8400401,OK,20250417,0.31403596403596423,60.0,60.059999999999995,79.0,78.921,1.2248,1.2248,1.0,0.25794581579670345,True,True,True,20250417,20250416
20250416,A,301232.SZ,飞沃科技,20250417,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,130007323.46498,OK,20250418,-0.07193374807011144,26.4,26.426399999999994,24.55,24.52545,1.428,1.428,1.0,-0.060221272430694084,True,True,True,20250418,20250417
20250423,A,301000.SZ,肇民科技,20250424,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1174748774.0865068,OK,20250425,0.08583889229050534,50.22,50.270219999999995,54.64,54.58536,5.0393,5.0393,1.0,0.06983572429989376,True,True,True,20250425,20250424
20250430,A,300005.SZ,探路者,20250506,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,1214698977.006412,OK,20250507,-0.035597705297432336,10.99,11.00099,10.62,10.60938,12.1675,12.1675,1.0,-0.03026831870381666,True,True,True,20250507,20250506
20250508,A,920169.BJ,七丰精工,20250509,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,259496216.501938,OK,20250512,0.36649504341812045,26.0,26.025999999999996,35.6,35.5644,1.0651,1.0651,1.0,0.30118950050718524,True,True,True,20250512,20250509
20250516,A,301260.SZ,格力博,20250519,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,467229355.08162,OK,20250520,0.10335456269835741,21.03,21.051029999999997,23.25,23.22675,1.003,1.003,1.0,0.08427444753962168,True,True,True,20250520,20250519
20250522,A,300418.SZ,昆仑万维,20250523,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,5676055103.835158,OK,20250526,-0.024401596836992168,38.31,38.34831,37.45,37.41255,4.0482,4.0482,1.0,-0.021039011023432218,True,True,True,20250526,20250523
20250603,A,920363.BJ,莱赛激光,20250604,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,272320100.856608,OK,20250605,0.01886931250567625,22.0,22.022,22.46,22.437540000000002,1.2255,1.2255,1.0,0.014630573399100986,True,True,True,20250605,20250604
20250611,A,301110.SZ,青木科技,20250612,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,415525192.89061624,OK,20250613,0.014698972155951617,62.76,62.82275999999999,63.81,63.746190000000006,1.4815,1.4815,1.0,0.01119282944051687,True,True,True,20250613,20250612
20250617,A,300457.SZ,赢合科技,20250618,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1841886588.9830303,OK,20250619,0.02721181257766636,20.5,20.5205,21.1,21.0789,5.8441,5.8441,1.0,0.02150756108281972,True,True,True,20250619,20250618
20250618,A,300269.SZ,联建光电,20250619,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,358254248.97308624,OK,20250620,0.2541084170412071,4.91,4.91491,6.17,6.16383,4.233,4.233,1.0,0.20854563610930807,True,True,True,20250620,20250619
